CTXS;QCOM;AAPL;IDXX;ALGN;AMGN;CPRT;FAST;CTAS;ORLY;EBAY;BKNG;NFLX;EA;GOOGL;PEP;MNST;COST;XEL;EXC
1/10/2018;99,900818;58,751831;52,825207;212,119995;221,199997;182,033432;48,91;24,233046;176,231277;320,75;28,280869;1874,579956;301,779999;90,980003;1090,579956;105,965393;52,849998;223,967285;46,437366;40,972115
1/11/2018;106,237823;54,426483;43,10302;203,759995;229,889999;196,630875;51,18;28,151768;181,57045;346,779999;29,079708;1891,880005;286,130005;84,07;1109,650024;114,979721;59,68;226,563232;49,6968;43,384991
1/12/2018;99,89106;53,165314;38,205803;186,020004;209,429993;185,092041;47,779999;24,840635;164,642242;344,329987;27,34564;1722,420044;267,660004;78,910004;1044,959961;104,173851;49,220001;200,029846;46,683727;42,497917
1/01/2019;100,291481;46,763805;40,313007;212,779999;248,949997;177,903961;50,630001;28,721834;183,773224;344,660004;32,781647;1832,810059;339,5;92,239998;1125,890015;107,08242;57,240002;210,752563;49,994858;45,004436
1/02/2019;103,186562;50,418407;41,938221;211,029999;258,970001;180,727829;58,669998;30,115913;202,482803;371,959991;36,191326;1697,040039;358,100006;95,779999;1126,550049;109,905128;63,830002;214,78833;52,381935;45,786552
1/03/2019;97,474632;53,855812;46,20462;223,600006;284,329987;182,029449;60,59;30,771439;198,082275;388,299988;36,316879;1744,910034;356,559998;101,629997;1176,890015;117,416908;54,580002;238,407791;53,670944;47,595703
1/04/2019;99,080757;82,281921;48,812218;232;324,679993;171,815582;67,32;33,757191;212,812759;378,570007;37,891197;1854,98999;370,540009;94,650002;1198,959961;122,686546;59,599998;241,74556;54,336308;48,374249
1/05/2019;92,368065;63,834644;42,585117;249,770004;284,350006;159,723709;71,480003;29,454454;217,409302;371,369995;35,133694;1656,219971;343,279999;93,080002;1106,5;122,638641;61,860001;235,887238;55,144138;45,649349
1/06/2019;96,31324;72,671379;48,328697;275,329987;273,700012;178,088135;74,739998;31,380207;232,561188;369,320007;38,774948;1874,709961;367,320007;101,260002;1082,800049;125,637543;63,830002;260,889526;57,211807;45,850498
1/07/2019;92,828079;70,530243;52,020744;282,049988;209,080002;180,310852;77,529999;29,656656;255,249878;380,76001;40,433929;1886,609985;322,98999;92,5;1218,199951;123,353172;64,470001;272,114471;57,719963;43,096027
1/08/2019;91,58696;74,974525;50,970757;289,73999;183,110001;201,610306;75,389999;29,689453;258,542877;383,76001;39,550446;1966,410034;293,75;93,68;1190,530029;131,962128;58,669998;291,000488;62,183796;45,200134
1/09/2019;95,073921;73,538086;54,897453;271,929993;180,919998;188,332886;80,330002;31,677149;262,757233;398,51001;38,397125;1962,609985;267,619995;97,82;1221,140015;132,319229;58,060001;285,064484;62,832558;46,575794
1/10/2019;107,633377;78,164253;60,973743;285,01001;252,289993;207,544739;82,639999;34,847775;263,315857;435,51001;34,7229;2048,77002;287,410004;96,400002;1258,800049;133,301636;56,130001;293,96936;61,892612;43,857021
1/11/2019;111,538864;81,186272;65,505836;251,580002;277,339996;228,440369;89;34,642914;251,93721;442,279999;34,988865;1904,030029;314,660004;101,010002;1304,089966;131,999435;59,82;297,285309;59,924061;42,806149
1/12/2019;109,650391;85,733864;72,192863;261,130005;279,040009;236,179428;90,940002;36,037605;266,280487;438,26001;35,709496;2053,72998;323,570007;107,510002;1339,390015;132,81575;63,549999;291,444916;61,873123;44,314919
1/01/2020;120,233665;83,539238;76,091995;271,01001;257,100006;211,667007;101,459999;34,018719;276,067596;406,100006;33,187778;1830,550049;345,089996;107,919998;1432,780029;138,981583;66,599998;302,947205;67,86409;46,258987
1/02/2020;102,548744;76,674751;67,204628;254,509995;218,350006;195,678085;84,480003;33,609066;263,964844;368,720001;34,255798;1695,660034;369,029999;101,370003;1339,25;129,205307;62,41;278,772552;61,125744;41,904282
1/03/2020;140,398239;66,245811;62,664707;242,240005;173,949997;200,027115;68,519997;30,692085;171,417816;301,049988;29,862955;1345,319946;375,5;100,169998;1161,949951;117,53054;56,259998;283,325012;59,144455;36,054581
1/04/2020;144,288635;77,649887;72,401154;277,600006;214,850006;236,030624;80,110001;35,573357;219,522079;386,339996;39,568913;1480,569946;419,850006;114,260002;1346,699951;130,333878;61,810001;301,081909;62,745766;36,319042
1/05/2020;147,383179;79,83123;78,349983;308,880005;245,619995;226,637543;89,389999;40,806515;245,380234;417,23999;45,241486;1639,420044;419,730011;122,879997;1433,52002;129,604843;71,910004;307,21756;64,19693;37,523796
1/06/2020;147,174225;90,027275;90,879066;330,160004;274,440002;234,290604;83,269997;42,369152;263,588776;421,670013;52,295368;1592,339966;455,040009;132,050003;1418,050049;130,304321;69,32;301,978882;61,699341;35,930946
1/07/2020;142,406952;105,047371;105,886086;397,75;293,820007;243,041992;93,25;46,522987;298,72934;477,380005;55,11702;1662,130005;488,880005;141,619995;1487,949951;136,6772;78,480003;324,208282;68,608879;38,227989
1/08/2020;144,840912;118,465508;128,585907;391,059998;296,980011;251,634445;103,32;48,588554;329,772949;465,630005;54,618496;1910,449951;529,559998;139,470001;1629,530029;139,060059;83,860001;346,993195;69,036194;36,544811
1/09/2020;137,369446;117,05307;115,610542;393,109985;327,359985;254,160004;105,160004;44,8395;329,367218;461,079987;52,099998;1710,680054;500,029999;130,410004;1465,599976;137,610489;80,199997;354,319092;68,579063;35,759998
1/10/2020;113,269997;123,360001;108,672516;424,820007;426,079987;216,940002;110,360001;42,989834;311,277405;436,600006;47,630001;1622,5;475,73999;119,830002;1616,109985;133,289993;76,57;356,934082;70,029999;39,889999
